from,to,weight
1,2,1
1,3,3
1,4,1
1,5,1
1,6,1
1,7,4
1,8,1
1,9,1
1,11,4
1,12,1
1,13,1
1,14,2
1,15,2
1,16,2
1,17,2
1,18,1
1,23,1
1,24,1
1,26,1
1,27,1
1,28,1
1,30,1
1,37,2
1,38,2
1,41,1
1,44,1
1,51,1
1,52,1
1,55,1
2,3,1
3,4,1
3,5,1
3,7,3
3,8,1
3,9,1
3,11,2
3,12,1
3,13,1
3,14,1
3,15,1
3,16,1
3,17,2
3,18,1
3,23,1
3,24,1
3,26,1
3,27,1
3,28,1
3,30,1
3,37,1
3,38,2
3,41,1
3,51,1
3,52,1
3,55,1
4,5,1
4,18,1
4,23,1
4,26,1
4,27,1
4,28,1
4,30,1
4,38,1
5,18,1
5,23,1
5,26,1
5,27,1
5,28,1
5,30,1
5,38,1
6,18,1
6,19,1
6,36,1
6,37,1
6,41,1
6,48,1
7,8,1
7,10,1
7,11,3
7,12,1
7,13,1
7,14,1
7,15,2
7,16,2
7,17,3
7,27,1
7,37,1
7,38,1
7,41,1
7,44,1
7,47,1
7,50,1
7,51,2
7,52,2
7,53,1
7,55,1
8,9,1
8,10,2
8,24,1
9,24,1
11,12,1
11,13,1
11,14,1
11,15,2
11,16,1
11,17,2
11,27,1
11,37,1
11,38,1
11,41,1
11,43,1
11,44,1
11,51,1
11,52,1
11,55,2
12,13,1
12,14,1
12,15,1
12,16,1
12,17,1
12,52,1
13,14,1
13,15,2
13,16,2
13,17,1
13,52,1
14,15,3
14,16,2
14,17,1
14,52,1
15,16,3
15,17,1
15,52,1
15,53,1
16,17,1
16,52,1
16,54,1
17,37,1
17,38,1
17,41,1
17,48,1
17,51,1
17,52,1
17,55,1
18,23,1
18,26,1
18,27,1
18,28,1
18,30,1
18,33,1
18,34,1
18,38,1
18,40,1
18,45,1
19,21,1
19,22,1
19,23,1
19,33,1
19,34,1
20,22,1
20,32,1
20,46,1
20,57,1
20,58,1
20,59,1
20,60,1
20,61,1
21,23,1
21,33,1
21,34,1
21,57,1
22,23,1
23,26,1
23,27,1
23,28,1
23,30,1
23,33,1
23,34,1
23,38,1
23,39,1
24,25,1
24,35,1
24,49,1
24,50,1
25,35,1
25,49,1
25,50,1
26,27,1
26,28,1
26,30,1
26,38,1
26,55,1
27,28,1
27,30,1
27,38,1
28,29,1
28,30,1
28,31,1
28,38,1
28,56,1
28,57,1
29,30,1
29,31,1
30,31,1
30,38,1
31,57,1
31,64,1
32,58,1
32,59,1
32,60,1
32,61,1
33,34,1
35,49,1
35,50,1
36,55,1
37,38,1
37,41,1
37,51,1
37,55,1
37,57,1
38,41,1
38,51,1
38,55,1
41,51,1
41,55,1
42,57,1
44,55,1
49,50,2
50,54,1
55,62,1
55,63,1
57,58,1
57,59,1
57,60,1
57,61,1
57,64,1
58,59,1
58,60,1
58,61,1
59,60,1
59,61,1
60,61,1
62,63,1
